"1splitHere46","9172375splitHere46","Runtime rt = Rintime.getRuntime() ;     <newline46mondego>Process p => rt.exec(<doubleQuotes46>Program.exe<doubleQuotes46>) ;     <newline46mondego>"
"2splitHere46","9172568splitHere46","if (length == 1)<newline46mondego>{<newline46mondego>    char c = buffer[index];<newline46mondego>    if (c >= '0' && c <= '9')<newline46mondego>    {<newline46mondego>        return c - '0';<newline46mondego>    }<newline46mondego>    // Invalid - throw an exception or whatever<newline46mondego>}<newline46mondego>"
"3splitHere46","9173358splitHere46","newWizardId"
"4splitHere46","9173358splitHere46","<extension point=<doubleQuotes46>org.eclipse.ui.menus<doubleQuotes46>><newline46mondego>   <menuContribution<newline46mondego>         allPopups=<doubleQuotes46>false<doubleQuotes46><newline46mondego>         locationURI=<doubleQuotes46>menu:org.eclipse.ui.main.toolbar<doubleQuotes46>><newline46mondego>      <toolbar id=<doubleQuotes46>id.of..toolbar<doubleQuotes46>><newline46mondego>         <command commandId=<doubleQuotes46>org.eclipse.ui.newWizard<doubleQuotes46>><newline46mondego>            <parameter name=<doubleQuotes46>newWizardId<doubleQuotes46> value=<doubleQuotes46>id.of.wizard<doubleQuotes46> /><newline46mondego>         </command><newline46mondego>      </toolbar><newline46mondego>   </menuContribution><newline46mondego></extension><newline46mondego>"
"5splitHere46","9173495splitHere46","AllocablePeriods"
"6splitHere46","9173495splitHere46","Map<Integer, List<String> > periodTeachersMap = new HashMap<Integer, List<String>>();<newline46mondego>for (Teacher teacher: teachers) {<newline46mondego>   for (AllocablePeriod period: teacher.getPeriods()) {<newline46mondego>       if (periodTeachersMap.get(period.getId()) == null) {<newline46mondego>           periodTeachersMap.put(period.getId(), new ArrayList<String>());<newline46mondego>       }<newline46mondego>       periodTeachersMap.get(period.getId()).add(teacher.getName());<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"7splitHere46","9173495splitHere46","periodTeachersMap"
"8splitHere46","9173539splitHere46","interface MathOperator {<newline46mondego>    double operate(double a, double b);<newline46mondego>}<newline46mondego>"
"9splitHere46","9173539splitHere46","enum MathOperators implements MathOperator {<newline46mondego>    ADD {<newline46mondego>        @Override<newline46mondego>        public double operate(double a, double b) {<newline46mondego>            return a + b;<newline46mondego>        }<newline46mondego>    },<newline46mondego><newline46mondego>    SUBTRACT {<newline46mondego>        @Override<newline46mondego>        public double operate(double a, double b) {<newline46mondego>            return a - b;<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"10splitHere46","9173539splitHere46","class MathOperators {<newline46mondego>    public static MathOperator ADD = new MathOperator() {<newline46mondego>        @Override<newline46mondego>        public double operate(double a, double b) {<newline46mondego>            return a + b;<newline46mondego>        }<newline46mondego>    };<newline46mondego>    public static MathOperator SUBTRACT = new MathOperator() {<newline46mondego>        @Override<newline46mondego>        public double operate(double a, double b) {<newline46mondego>            return a - b;<newline46mondego>        }<newline46mondego>    };<newline46mondego>}<newline46mondego>"
"11splitHere46","9173539splitHere46","MathOperator"
"12splitHere46","9173539splitHere46","MathOperators"
