"1splitHere46","23363491splitHere46","public static <T extends Module> T initializeModule(Class<T> myClass) {<newline46mondego>    T module = null;<newline46mondego>    try {<newline46mondego>        module = myClass.newInstance();<newline46mondego>    } catch (SecurityException e) {<newline46mondego>        throw new ModuleException(e);<newline46mondego>    } catch (InstantiationException e) {<newline46mondego>        throw new ModuleException(e);<newline46mondego>    } catch (IllegalAccessException e) {<newline46mondego>        throw new ModuleException(e);<newline46mondego>    }<newline46mondego>    return module;<newline46mondego>}<newline46mondego>"
"2splitHere46","23363674splitHere46","class B<newline46mondego>{<newline46mondego>    private HashMap<String,A> theAs=new HashMap<String,A>(); //give better name<newline46mondego><newline46mondego><newline46mondego>    public B ()<newline46mondego>    {<newline46mondego>        theAs.put(<doubleQuotes46>a1<doubleQuotes46>,new A (<doubleQuotes46>a1<doubleQuotes46>)); //A probably doesn't need to keep its own name internally now, but have left it as its in your original code<newline46mondego>        theAs.put(<doubleQuotes46>a2<doubleQuotes46>,new A (<doubleQuotes46>a2<doubleQuotes46>));<newline46mondego>        theAs.put(<doubleQuotes46>a3<doubleQuotes46>,new A (<doubleQuotes46>a3<doubleQuotes46>));<newline46mondego>    }<newline46mondego><newline46mondego>    public A get_A_byName (String name)<newline46mondego>    {<newline46mondego>        return theAs.get(name);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3splitHere46","23363674splitHere46","<String,A>"
"4splitHere46","23363674splitHere46","private HashMap<String,A> theAs=new HashMap<>();<newline46mondego>"
"5splitHere46","23364111splitHere46","A actuallyB = new B(); // note implicit widening but could be (A)new B()<newline46mondego>B theB = (B)actuallyB;<newline46mondego>"
"6splitHere46","23364111splitHere46","(B)new A()"
"7splitHere46","23364243splitHere46","int"
"8splitHere46","23364243splitHere46","long"
"9splitHere46","23364243splitHere46","Integer"
"10splitHere46","23364243splitHere46","long"
"11splitHere46","23364243splitHere46","Integer"
"12splitHere46","23364248splitHere46","java.lang.ClassNotFoundException: com/microsoft/jdbc/sqlserver/SQLServerDriver <newline46mondego>"
"13splitHere46","23364248splitHere46","<installation directory>\sqljdbc_<version>\<language>\sqljdbc.jar<newline46mondego><installation directory>\sqljdbc_<version>\<language>\sqljdbc4.jar<newline46mondego>"
"14splitHere46","23364248splitHere46","CLASSPATH =.;C:\Program Files\Microsoft JDBC Driver 4.0 for SQL Server\sqljdbc_4.0\enu\sqljdbc.jar <newline46mondego>"
"15splitHere46","23364248splitHere46","CLASSPATH =.:/home/usr1/mssqlserverjdbc/Driver/sqljdbc_4.0/enu/sqljdbc.jar <newline46mondego>"
"16splitHere46","23364311splitHere46","promptText"
"17splitHere46","23364740splitHere46","newPrint()"
"18splitHere46","23364740splitHere46","newPrint()"
"19splitHere46","23364740splitHere46","@Transactional"
"20splitHere46","23364740splitHere46","@Transactional"
