"1splitHere46","1262987splitHere46","public void fetchEventNames(ValueChangeEvent e) throws SQLException{<newline46mondego>   String filteringOptions = <doubleQuotes46><doubleQuotes46>; <newline46mondego>   String newSelectedValue = e.getNewValue().toString();<newline46mondego>       .....<newline46mondego>"
"2splitHere46","1263701splitHere46","public static void main( String [] args ) {<newline46mondego>      JFrame a = new FrameA(); // Has both display logic and trial <doubleQuotes46>pop up<doubleQuotes46> logic<newline46mondego> }<newline46mondego>"
"3splitHere46","1263701splitHere46","public static void main( String [] args ) {<newline46mondego>      JKFrame a = FrameA.createFrame(); // the same but splited like the following code <newline46mondego> }<newline46mondego><newline46mondego><newline46mondego> class FrameA extends JFrame {<newline46mondego>      // new method<newline46mondego>      public static JFrame createFrame() {<newline46mondego>            return new FrameA();  <newline46mondego><newline46mondego>      }<newline46mondego> }<newline46mondego>"
"4splitHere46","1263701splitHere46","public static JFrame createFrame() {<newline46mondego>            if( thatSpecialLogicSaysItIsTrialAndShouldPopUp() ) {<newline46mondego>                  JFrame b = new FrameB();<newline46mondego>                  b.setVisible( true );<newline46mondego>                  JFrame c = new FrameC();<newline46mondego>                  c.setVisible( true );<newline46mondego>                  return new FrameA();<newline46mondego><newline46mondego>           } else {<newline46mondego>            return new FrameA();<newline46mondego>           }  <newline46mondego><newline46mondego>      }<newline46mondego>"
"5splitHere46","1264371splitHere46","log4j.appender.fileAppender.file=${catalina.base}/logs/mylog.log<newline46mondego>"
"6splitHere46","1264643splitHere46","java.util.concurrent"
"7splitHere46","1264643splitHere46","ExecutorService"
"8splitHere46","1264643splitHere46","synchronized"
"9splitHere46","1264643splitHere46","synchronized"
"10splitHere46","1264643splitHere46","synchronized"
"11splitHere46","1264643splitHere46","final TextMessage msg = //...<newline46mondego>Thread t = new Thread(r);<newline46mondego>synchronized (msg) {<newline46mondego>    t.start();<newline46mondego>} //the other thread is still running and now this thread has not synchronized on the msg<newline46mondego>"
"12splitHere46","1264643splitHere46","Runnable r = new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        synchronized (msg) { //only any use if readers are alse sync-ed<newline46mondego>            msg.setGpsLocation(findGpsLocation(msg)); <newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"13splitHere46","1264643splitHere46","TextMessage"
"14splitHere46","1264643splitHere46","synchronized"
"15splitHere46","1264643splitHere46","synchronized"
"16splitHere46","1264643splitHere46","ExecutorService"
"17splitHere46","1264643splitHere46","final TextMessage msg = //...<newline46mondego>ExecutorService worker = Executors.newSingleThreadedExecutor();<newline46mondego>Future<?> f = worker.submit(r); //the future represents the work<newline46mondego>"
"18splitHere46","1264643splitHere46","r"
"19splitHere46","1264643splitHere46","Runnable r = new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        GpsLocation  loc = findGpsLocation(msg);<newline46mondego>        msg.setGpsLocation(loc); //the setter is synchronized<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"20splitHere46","1264643splitHere46","setGpsLocation"
"21splitHere46","1264643splitHere46","synchronized"
"22splitHere46","1264643splitHere46","getter"
"23splitHere46","1264643splitHere46","synchronize"
"24splitHere46","1264643splitHere46","synchronized (msg) {<newline46mondego>    if (msg.getGpsLocation().isIn(AMERICA))<newline46mondego>       msg.append(<doubleQuotes46> DUDE!<doubleQuotes46>)<newline46mondego>}<newline46mondego>"
