"1splitHere46","11758801splitHere46","NSData* dataObj = nil;<newline46mondego>if (datalen)<newline46mondego>        dataObj = [NSData dataWithBytes:data length:1];<newline46mondego><newline46mondego>return dataObj;<newline46mondego>"
"2splitHere46","11759056splitHere46","Ordering<Item> o = new Ordering<Item>() {<newline46mondego>    @Override<newline46mondego>    public int compare(Item left, Item right) {<newline46mondego>        return Ints.compare(left.price, right.price);<newline46mondego>    }<newline46mondego>};<newline46mondego>return o.max(list);<newline46mondego>"
"3splitHere46","11759194splitHere46","UTF-8"
"4splitHere46","11759194splitHere46","ISO-8859-1"
"5splitHere46","11759194splitHere46","BufferedReader in;<newline46mondego>String readLine;<newline46mondego>try<newline46mondego>{<newline46mondego>    in = new BufferedReader(new InputStreamReader(url.openStream(), <doubleQuotes46>ISO-8859-1<doubleQuotes46>));<newline46mondego>    BufferedWriter out = new BufferedWriter(new OutputStreamWriter( new FileOutputStream(file) , <doubleQuotes46>UTF-8<doubleQuotes46>));<newline46mondego><newline46mondego>    while ((readLine = in.readLine()) != null)<newline46mondego>        out.write(readLine+<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>    out.flush();<newline46mondego>    out.close();<newline46mondego>}<newline46mondego><newline46mondego>catch (UnsupportedEncodingException e)<newline46mondego>{<newline46mondego>    e.printStackTrace();<newline46mondego>}<newline46mondego><newline46mondego>catch (IOException e)<newline46mondego>{<newline46mondego>    e.printStackTrace();<newline46mondego>}<newline46mondego>"
"6splitHere46","11759225splitHere46","com.project.action.PasswordHintAction"
"7splitHere46","11759225splitHere46","<context:component-scan base-package=<doubleQuotes46>com.project.action<doubleQuotes46>/><newline46mondego>"
"8splitHere46","11759225splitHere46","PasswordHintActionTest"
"9splitHere46","11759225splitHere46","PasswordHintAction"
"10splitHere46","11759225splitHere46","PasswordHintAction"
"11splitHere46","11759225splitHere46","@Component, @Service, @Controller"
"12splitHere46","11759225splitHere46","PasswordHintAction"
"13splitHere46","11759225splitHere46","@Component<newline46mondego>public class PasswordHintAction extends BaseAction {<newline46mondego>    private static final long serialVersionUID = -4037514607101222025L;<newline46mondego>    private String username;<newline46mondego>"
"14splitHere46","11759225splitHere46","applicationcontext.xml"
"15splitHere46","11759225splitHere46","<bean id=<doubleQuotes46>passwordHintAction<doubleQuotes46> class=<doubleQuotes46>com.project.action.PasswordHintAction<doubleQuotes46> /><newline46mondego>"
"16splitHere46","11759300splitHere46","<dependency><newline46mondego>    <groupId>org.codehaus.gmaven.runtime</groupId><newline46mondego>    <artifactId>gmaven-runtime-1.7</artifactId><newline46mondego>    <version>1.3</version><newline46mondego>    <exclusions><newline46mondego>      <exclusion><newline46mondego>        <groupId>org.sonatype.gossip</groupId><newline46mondego>        <artifactId>gossip</artifactId><newline46mondego>      </exclusion><newline46mondego>    </exclusions><newline46mondego></dependency><newline46mondego>"
"17splitHere46","11759300splitHere46","gshell-io"
"18splitHere46","11759317splitHere46","FirstClass.this"
"19splitHere46","11759406splitHere46","class Foo<T> {<newline46mondego><newline46mondego>    public Foo() {<newline46mondego>        new T();<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class Bar {<newline46mondego>    private Bar() {}<newline46mondego>}<newline46mondego><newline46mondego>class FooBar {<newline46mondego>    public FooBar() {<newline46mondego>       Foo<Bar> foo = new Foo<>();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"20splitHere46","11759494splitHere46","Comparator"
